edge_type,property,count
ACQUIRED_BY,acquired_date,10
ACQUIRED_BY,acquisition_price_usd,3
ACQUIRED_BY,created_at,11
ACQUIRED_BY,currency,3
ACQUIRED_BY,date_basis,10
ACQUIRED_BY,date_precision,10
ACQUIRED_BY,description,11
ACQUIRED_BY,description_generated_at,11
ACQUIRED_BY,description_input_hash,10
ACQUIRED_BY,description_provenance,11
ACQUIRED_BY,description_source,10
ACQUIRED_BY,description_upgrade_pending,10
ACQUIRED_BY,source,11
ACQUIRED_BY,updated_at,11
ACQUIRED_BY,uuid,11
ACQUIRED_BY,valid_from,10
ACQUIRED_BY,weight,11
ADVISOR_TO,created_at,214
ADVISOR_TO,description,214
ADVISOR_TO,description_generated_at,27
ADVISOR_TO,description_input_hash,27
ADVISOR_TO,description_provenance,27
ADVISOR_TO,description_source,27
ADVISOR_TO,description_upgrade_pending,27
ADVISOR_TO,seniority_level,214
ADVISOR_TO,source,214
ADVISOR_TO,title,214
ADVISOR_TO,total_roles,214
ADVISOR_TO,updated_at,214
ADVISOR_TO,uuid,214
ADVISOR_TO,valid_from,213
ADVISOR_TO,valid_to,4
ADVISOR_TO,weight,214
APPEARED_IN,confidence,12
APPEARED_IN,created_at,12
APPEARED_IN,description,12
APPEARED_IN,description_generated_at,12
APPEARED_IN,evidence,12
APPEARED_IN,evidence_refs,12
APPEARED_IN,provider,12
APPEARED_IN,role,12
APPEARED_IN,source_names,12
APPEARED_IN,source_published,12
APPEARED_IN,source_urls,12
APPEARED_IN,title,12
APPEARED_IN,updated_at,12
APPEARED_IN,uuid,12
APPEARED_IN,valid_from,10
APPEARED_IN,weight,12
ATTENDED,activities_societies,94
ATTENDED,created_at,1798
ATTENDED,degree,1157
ATTENDED,description,1798
ATTENDED,description_generated_at,401
ATTENDED,description_input_hash,401
ATTENDED,description_provenance,401
ATTENDED,description_source,401
ATTENDED,description_upgrade_pending,401
ATTENDED,field_of_study,1208
ATTENDED,source,1798
ATTENDED,updated_at,1798
ATTENDED,uuid,1798
ATTENDED,valid_from,1422
ATTENDED,valid_to,1459
ATTENDED,weight,1798
AUTHORED,created_at,349
AUTHORED,description,122
AUTHORED,description_generated_at,91
AUTHORED,description_input_hash,91
AUTHORED,description_provenance,91
AUTHORED,description_source,91
AUTHORED,description_upgrade_pending,91
AUTHORED,updated_at,349
AUTHORED,uuid,349
AUTHORED,valid_from,335
AUTHORED,weight,349
BOARD_MEMBER_OF,compensation_usd,11
BOARD_MEMBER_OF,confidence,89
BOARD_MEMBER_OF,created_at,322
BOARD_MEMBER_OF,description,322
BOARD_MEMBER_OF,description_generated_at,172
BOARD_MEMBER_OF,description_input_hash,172
BOARD_MEMBER_OF,description_provenance,172
BOARD_MEMBER_OF,description_source,172
BOARD_MEMBER_OF,description_upgrade_pending,172
BOARD_MEMBER_OF,filing_refs,89
BOARD_MEMBER_OF,mention_ref,89
BOARD_MEMBER_OF,seniority_level,234
BOARD_MEMBER_OF,source,322
BOARD_MEMBER_OF,source_urls,89
BOARD_MEMBER_OF,title,322
BOARD_MEMBER_OF,title_as_filed,89
BOARD_MEMBER_OF,total_roles,234
BOARD_MEMBER_OF,updated_at,322
BOARD_MEMBER_OF,uuid,322
BOARD_MEMBER_OF,valid_from,322
BOARD_MEMBER_OF,valid_to,73
BOARD_MEMBER_OF,weight,322
CERTIFIED_BY,cert_type,77
CERTIFIED_BY,created_at,77
CERTIFIED_BY,description,10
CERTIFIED_BY,description_generated_at,10
CERTIFIED_BY,description_input_hash,10
CERTIFIED_BY,description_provenance,10
CERTIFIED_BY,description_source,10
CERTIFIED_BY,description_upgrade_pending,10
CERTIFIED_BY,updated_at,77
CERTIFIED_BY,uuid,77
CERTIFIED_BY,weight,77
COFOUNDED_WITH,confidence,78
COFOUNDED_WITH,created_at,78
COFOUNDED_WITH,description,78
COFOUNDED_WITH,description_generated_at,78
COFOUNDED_WITH,description_input_hash,32
COFOUNDED_WITH,description_provenance,32
COFOUNDED_WITH,description_source,32
COFOUNDED_WITH,description_upgrade_pending,32
COFOUNDED_WITH,evidence,78
COFOUNDED_WITH,evidence_refs,78
COFOUNDED_WITH,provider,78
COFOUNDED_WITH,relationship,78
COFOUNDED_WITH,source_names,78
COFOUNDED_WITH,source_published,78
COFOUNDED_WITH,source_urls,78
COFOUNDED_WITH,updated_at,78
COFOUNDED_WITH,uuid,78
COFOUNDED_WITH,valid_from,78
COFOUNDED_WITH,valid_to,14
COFOUNDED_WITH,via_domain,73
COFOUNDED_WITH,via_entity_uuid,57
COFOUNDED_WITH,via_key,78
COFOUNDED_WITH,via_organization,78
COFOUNDED_WITH,weight,78
COLLABORATORS,confidence,16
COLLABORATORS,created_at,16
COLLABORATORS,description,16
COLLABORATORS,description_generated_at,16
COLLABORATORS,description_input_hash,6
COLLABORATORS,description_provenance,6
COLLABORATORS,description_source,6
COLLABORATORS,description_upgrade_pending,6
COLLABORATORS,evidence,16
