edge_type,count,weighted,min_weight,max_weight,weight_variants,missing_description
ACQUIRED_BY,11,11,25,25,1,0
ADVISOR_TO,214,214,12,12,1,0
APPEARED_IN,12,12,15,15,1,0
ATTENDED,1798,1798,40,40,1,0
AUTHORED,349,349,15,25,4,227
BOARD_MEMBER_OF,322,322,8,8,1,0
CERTIFIED_BY,77,77,25,25,1,67
COFOUNDED_WITH,78,78,1,1,1,0
COLLABORATORS,16,16,15,15,1,0
COLLEAGUES_AT,57,57,16,28,3,0
CONTRIBUTED_TO,206,206,15,40,6,7
CO_INVESTORS,18,18,20,25,2,0
DEVELOPED_BY,4,4,35,35,1,2
DISTRIBUTED_BY,12,12,40,40,1,0
FOLLOW_ON_INVESTED_IN,217,217,20,20,1,0
FOUNDED,550,550,5,5,1,0
FROM_AREA,29,29,70,70,1,5
GRANTED_BY,77,77,10,10,1,67
HAS_AWARD,901,901,40,40,1,898
HAS_CERTIFICATION,223,223,15,20,2,197
HAS_EXPERTISE,4183,4183,10,42,33,3178
HAS_INVESTMENT_THESIS,422,0,,,0,0
HAS_SUBDOMAIN,3559,3559,100,100,1,0
IMPRINT_OF,4,4,12,12,1,0
INVESTED_IN,810,810,20,25,2,0
INVESTMENT_PARTNER_AT,134,134,20,20,1,0
INVESTMENT_PARTNER_IN,156,156,15,15,1,0
IN_COUNTRY,514,514,50,50,1,0
IN_GAME_SERIES,3,3,75,75,1,0
IN_REGION,2179,2179,25,25,1,0
ISSUED_BY,31,31,25,25,1,25
LEAD_INVESTED_IN,160,160,15,15,1,0
LOCATED_IN,1417,1417,70,70,1,1116
MARRIED_TO,3,3,4,4,1,0
MEMBER_OF,66,66,5,20,3,0
MENTOR,2,2,14,14,1,0
NOMINATED_FOR,321,321,35,35,1,320
OFFICER_OF,55,55,14,20,2,0
PUBLISHED_BY,12,12,20,45,2,11
RAISED,396,396,10,10,1,1
RECEIVED_HONOR,142,142,20,20,1,39
RELEASED,20,20,10,10,1,0
RELEASED_ON,113,113,50,50,1,0
RELEASE_OF,19,19,30,30,1,0
REPORTED_TO,6,6,15,15,1,0
SPECIALIZES_IN,1481,1481,10,45,35,0
SPOKE_AT,25,25,15,15,1,0
SUBSIDIARY_OF,33,33,15,15,1,0
SUCCEEDED_BY,2,2,30,30,1,0
USES_ENGINE,3,3,80,80,1,0
VOLUNTEERED_AT,98,98,38,50,2,42
WAS_ADVISOR_TO,89,89,12,12,1,0
WON_AWARD,102,102,30,30,1,102
WORKED_AT,1693,1693,25,40,7,0
WORKED_ON,195,195,30,30,1,0
WORKS_AT,1136,1136,5,40,10,0
