edge_type,from_type,to_type,weight,is_range,weight_kind,status,scope,notes,source,observed_type_count,observed_type_min,observed_type_max,observed_at
ABOUT,Note|Document,Person|Company,,no,unweighted,documented contract; App not audited,User graph,No weight by design; blank is not zero.,guides/ontology/edges.mdx#user-graph-edges,,,,
ACQUIRED_BY,Company,Company,25,no,fixed,registry:live,Universe registry,"Registry note: page scopes From to Company:Music_Label; any company can be acquired, so the writer draws it for every Company",https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,11,25,25,2026-09-22T09:06:43.084824+00:00
ADAPTED_FROM,Theatrical_Work,Work,55,no,fixed,superseded proposal,Documentation only,Replaced by BASED_ON on 2026-09-07. Do not emit both names.,guides/ontology/edges.mdx#adapted_from,,,,
ADVISOR_OF,Person,Person,,no,unspecified,registry:proposed,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
ADVISOR_TO,Person,Company,12,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,214,12,12,2026-09-22T09:06:43.084824+00:00
APPEARED_IN,Person,MediaAppearance,15; 20; 45,yes,tiered,registry:live,Universe registry,"guest=15; host=15; panelist=20; speaker=15; speaker_hub=45; Registry note: writer = the Deep Bio appearance replay (2026-09-07), page writer line pending Mark",https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,12,15,15,2026-09-22T09:06:43.084824+00:00
APPEARS_ON,Recording,Release,45,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
ATTACHED_TO,Note|Document,Person|Company,,no,unweighted,documented contract; App not audited,User graph,No weight by design; blank is not zero.,guides/ontology/edges.mdx#user-graph-edges,,,,
ATTENDED,Person,Company:School,40,no,fixed,registry:live,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,1798,40,40,2026-09-22T09:06:43.084824+00:00
ATTENDED_EVENT,Person,Event:Live,55,no,fixed,registry:planned,Universe registry,,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
ATTENDED_TOGETHER,Person,Person,35; 70,yes,tiered,registry:live,Universe registry,overlap=70; same_field=35,https://github.com/Orbiterio/orbiter-universe/blob/bb0fc0455608b8b04a285eef75ebac971ac1cb77/internal/kernel/edges/edges.go,,,,
